"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-169.97094925742113,-0.9803921568627451
0.4,1.25,0.05,0.05,-167.5116397897247,-0.9662068638820236
0.4,1.25,0.05,0.05,-167.40417827951427,-0.9655870260671781
0.4,1.25,0.05,0.05,-167.69375513989024,-0.9672573049234289
0.4,1.25,0.05,0.05,-167.54346203023937,-0.9663904145131795
0.4,1.25,0.05,0.05,-167.20795974997114,-0.9644552379102274
0.4,1.25,0.05,0.05,-168.07540158074673,-0.9694586409690586
0.4,1.25,0.05,0.05,-166.95472225998475,-0.9629945644828509
0.4,1.25,0.05,0.05,-169.25931533077136,-0.97628745353966
0.4,1.25,0.05,0.05,-168.50282737237166,-0.9719240322349231
0.4,1.25,0.05,0.05,-167.6689395617254,-0.9671141687092281
0.4,1.25,0.05,0.05,-167.61448640216136,-0.9668000829740703
0.4,1.25,0.05,0.05,-167.2384879992028,-0.9646313248017827
0.4,1.25,0.05,0.05,-168.8957722319764,-0.9741905375413833
0.4,1.25,0.05,0.05,-168.50990956328474,-0.9719648823005074
0.4,1.25,0.05,0.05,-169.2888180594744,-0.9764576252304864
0.4,1.25,0.05,0.05,-169.63906470536395,-0.9784778473101875
0.4,1.25,0.05,0.05,-167.8898667459812,-0.9683884763460827
0.4,1.25,0.05,0.05,-170.31534326786166,-0.9823786209507643
0.4,1.25,0.05,0.05,-167.19060598484248,-0.9643551414213949
