"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-162.71941011254123,-0.9803921568627451
0.4,1.25,0.05,0.05,-160.5192574496805,-0.9671361328083469
0.4,1.25,0.05,0.05,-160.54997974624035,-0.9673212361009857
0.4,1.25,0.05,0.05,-158.86115685302292,-0.9571459981395435
0.4,1.25,0.05,0.05,-158.7370113076189,-0.9563980153454849
0.4,1.25,0.05,0.05,-159.23582433730675,-0.9594033874870671
0.4,1.25,0.05,0.05,-160.38185543483664,-0.9663082791577167
0.4,1.25,0.05,0.05,-157.21363083051432,-0.9472195757810948
0.4,1.25,0.05,0.05,-190.27227221909305,-1.1463994567275952
0.4,1.25,0.05,0.05,-189.76244326964542,-1.1433277131474386
0.4,1.25,0.05,0.05,-190.22803245074795,-1.146132910026885
0.4,1.25,0.05,0.05,-190.02072523754225,-1.1448838742434628
0.4,1.25,0.05,0.05,-189.86176109542586,-1.1439261077542313
0.4,1.25,0.05,0.05,-190.70999167342134,-1.1490367371825383
0.4,1.25,0.05,0.05,-189.5601019107309,-1.1421085968714424
0.4,1.25,0.05,0.05,-187.50817333868494,-1.1297456299882347
