"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-168.25453509229817,-0.9803921568627452
0.4,1.25,0.05,0.05,-166.40026696321502,-0.9695876342418456
0.4,1.25,0.05,0.05,-165.22560031496567,-0.9627430403160999
0.4,1.25,0.05,0.05,-166.72023532664883,-0.9714520385135202
0.4,1.25,0.05,0.05,-165.11700700337673,-0.9621102845279058
0.4,1.25,0.05,0.05,-164.68470776177878,-0.9595913462677997
0.4,1.25,0.05,0.05,-166.75081333229787,-0.9716302116420744
0.4,1.25,0.05,0.05,-163.98850601159114,-0.955534690468872
0.4,1.25,0.05,0.05,-166.39322942162823,-0.9695466276171415
0.4,1.25,0.05,0.05,-166.59877890439438,-0.9707443314450982
0.4,1.25,0.05,0.05,-163.93115268920138,-0.9552005018693783
0.4,1.25,0.05,0.05,-159.2425213126841,-0.927880599761322
0.4,1.25,0.05,0.05,-158.4581711070382,-0.9233103170677406
0.4,1.25,0.05,0.05,-157.73697056457883,-0.9191079973206713
0.4,1.25,0.05,0.05,-159.95584315681754,-0.9320370115984452
0.4,1.25,0.05,0.05,-157.95916172945618,-0.9204026695578889
0.4,1.25,0.05,0.05,-156.37669151660037,-0.9111818697482333
0.4,1.25,0.05,0.05,-155.58049173181496,-0.9065425414598681
0.4,1.25,0.05,0.05,-160.00187887791498,-0.9323052543526431
0.4,1.25,0.05,0.05,-160.1259810652818,-0.9330283778695052
