"P_xy","P_z","I_xy","I_z","cost","norm_cost"
0.4,1.25,0.05,0.05,-168.06030819721522,-0.9803921568627451
0.4,1.25,0.05,0.05,-167.79991637770928,-0.9788731420501858
0.4,1.25,0.05,0.05,-164.92298958247466,-0.9620903781949246
0.4,1.25,0.05,0.05,-165.41089366618968,-0.9649366025182442
0.4,1.25,0.05,0.05,-166.5685771062943,-0.9716900339321421
0.4,1.25,0.05,0.05,-165.55968361918704,-0.9658045796420718
0.4,1.25,0.05,0.05,-166.36414102822593,-0.9704974410488612
0.4,1.25,0.05,0.05,-165.64410127057988,-0.9662970362144422
0.4,1.25,0.05,0.05,-179.66668848533456,-1.0480988291049844
0.4,1.25,0.05,0.05,-166.75265765041155,-0.9727638813124041
0.4,1.25,0.05,0.05,-166.78553552811866,-0.9729556768278598
0.4,1.25,0.05,0.05,-158.7067289918145,-0.9258273652713341
0.4,1.25,0.05,0.05,-158.31494539043888,-0.9235418668446304
0.4,1.25,0.05,0.05,-157.4336240725341,-0.9184006141775469
0.4,1.25,0.05,0.05,-162.03728362356742,-0.9452564004432902
0.4,1.25,0.05,0.05,-161.01561436303666,-0.9392964177401958
0.4,1.25,0.05,0.05,-161.49715646738383,-0.9421055289893977
0.4,1.25,0.05,0.05,-158.3874190763634,-0.9239646474168042
0.4,1.25,0.05,0.05,-162.0338596189896,-0.9452364262609911
0.4,1.25,0.05,0.05,-161.38443252836757,-0.9414479456082431
